#mm10.knownGene.name	mm10.knownGene.txStart	mm10.knownGene.cdsStart	mm10.kgXref.geneSymbol
ENSMUST00000109441.1	161527508	161529515	Ptprt
ENSMUST00000109442.7	161526356	161529515	Ptprt
ENSMUST00000109443.7	161521989	161529515	Ptprt
ENSMUST00000109445.8	161521989	161529515	Ptprt
ENSMUST00000112394.1	65948948	65948981	Csrnp3
ENSMUST00000112397.2	65845854	65878039	Csrnp3
ENSMUST00000112627.1	57107498	57108155	Nr4a2
ENSMUST00000112629.7	57106829	57108155	Nr4a2
ENSMUST00000113470.2	31640036	31640098	Prdm12
ENSMUST00000122912.7	65845766	65878039	Csrnp3
ENSMUST00000123016.1	158603048	158603048	Gm14204
ENSMUST00000123944.1	158598172	158598172	Gm14204
ENSMUST00000128776.1	57112989	57112989	Nr4a2
ENSMUST00000129015.1	162012014	162012014	Ptprt
ENSMUST00000129133.1	65860596	65860596	Csrnp3
ENSMUST00000130608.1	129688495	129688495	Pdyn
ENSMUST00000133351.2	130277221	130277221	Nop56
ENSMUST00000136156.8	104143072	104148780	D430041D05Rik
ENSMUST00000136621.8	130274454	130274473	Nop56
ENSMUST00000138163.2	130274830	130274830	Nop56
ENSMUST00000139896.1	65845844	65845844	Csrnp3
ENSMUST00000140165.1	57112002	57112002	Nr4a2
ENSMUST00000141159.8	104143072	104148780	D430041D05Rik
ENSMUST00000141872.1	130274491	130274491	Nop56
ENSMUST00000143547.1	130276596	130276596	Nop56
ENSMUST00000145335.2	130277710	130277710	Nop56
ENSMUST00000145598.8	65931864	65948981	Csrnp3
ENSMUST00000145773.1	158595471	158595471	Gm14204
ENSMUST00000146454.8	130276716	130276716	Nop56
ENSMUST00000149165.1	104207665	104207665	D430041D05Rik
ENSMUST00000149955.8	130276158	130276158	Nop56
ENSMUST00000150401.7	130277217	130277217	Nop56
ENSMUST00000150745.8	130274443	130274443	Nop56
ENSMUST00000152113.1	129697985	129697985	Pdyn
ENSMUST00000153353.8	130277088	130277088	Nop56
ENSMUST00000153770.1	161698008	161698008	Ptprt
ENSMUST00000155319.1	158603187	158603187	Gm14204
ENSMUST00000155458.1	104152179	104152179	D430041D05Rik
ENSMUST00000156278.7	104184986	104184986	D430041D05Rik
ENSMUST00000159373.1	130277314	130277314	Nop56
ENSMUST00000160183.1	130275795	130275795	Nop56
ENSMUST00000160976.1	130276299	130276299	Nop56
ENSMUST00000161025.1	130276664	130276664	Nop56
ENSMUST00000161543.1	130274445	130274445	Nop56
ENSMUST00000162063.7	130276474	130276474	Nop56
ENSMUST00000163967.1	27061637	27062187	Mymk
ENSMUST00000176109.7	65930136	65948981	Csrnp3
ENSMUST00000183542.7	57106829	57108611	Nr4a2
ENSMUST00000184404.7	139678177	139678669	Ism1
ENSMUST00000230671.1	104143072	104148780	D430041D05Rik
ENSMUST00000029002.8	8509359	8509611	Stmn2
ENSMUST00000029822.5	134829006	134829272	Tacr3
ENSMUST00000029845.14	145758674	145758861	Ddah1
ENSMUST00000038563.13	75875083	75878030	Golim4
ENSMUST00000058981.2	67457997	67458228	Lxn
ENSMUST00000078527.12	79641610	79644715	Rxfp1
ENSMUST00000117242.7	75876182	75878030	Golim4
ENSMUST00000120310.1	145760747	145845710	Ddah1
ENSMUST00000125405.1	75909855	75909855	Golim4
ENSMUST00000127193.1	145810478	145810478	Ddah1
ENSMUST00000131987.7	75899226	75899226	Golim4
ENSMUST00000134219.1	75876478	75876478	Golim4
ENSMUST00000134444.1	75886770	75886770	Golim4
ENSMUST00000150904.1	75894852	75894852	Golim4
ENSMUST00000160202.1	67461060	67461060	Lxn
ENSMUST00000160827.1	67458000	67458000	Lxn
ENSMUST00000167078.7	75877658	75878030	Golim4
ENSMUST00000182491.6	79644111	79678724	Rxfp1
ENSMUST00000183040.2	79655292	79655292	Rxfp1
ENSMUST00000183199.1	79651628	79651628	Rxfp1
ENSMUST00000191847.1	8509514	8509514	Stmn2
ENSMUST00000192433.1	75955115	75955115	Golim4
ENSMUST00000194307.1	8560265	8560265	Stmn2
ENSMUST00000194905.1	8509585	8509585	Stmn2
ENSMUST00000029876.1	15881263	15881398	Calb1
ENSMUST00000039331.8	140026845	140027004	Igsf21
ENSMUST00000052458.2	143349756	143350168	Lrrc38
ENSMUST00000053157.6	108367776	108367793	Shisal2a
ENSMUST00000136266.1	15881265	15881265	Calb1
ENSMUST00000141336.1	15885456	15885456	Calb1
ENSMUST00000031591.9	120431698	120432280	Lhx5
ENSMUST00000035651.5	21543562	21560521	Lrrc17
ENSMUST00000039370.13	15934787	15935013	Cacna2d1
ENSMUST00000043650.7	114568015	114594385	Fam222a
ENSMUST00000053116.6	39613938	39614362	Hs3st1
ENSMUST00000054095.5	69109284	69110334	Kctd8
ENSMUST00000064930.7	111581421	111581421	C130026L21Rik
ENSMUST00000070748.9	44472131	44473281	Ldb2
ENSMUST00000074694.6	18265134	18267018	Gnai1
ENSMUST00000078272.12	15934787	15935013	Cacna2d1
ENSMUST00000087231.3	69296208	69296651	Kctd8
ENSMUST00000101581.9	15934787	15935013	Cacna2d1
ENSMUST00000113102.9	92257658	92259555	Naaa
ENSMUST00000115281.6	15934828	15935013	Cacna2d1
ENSMUST00000117944.1	39613934	39614362	Hs3st1
ENSMUST00000130983.1	114568016	114568016	Fam222a
ENSMUST00000137142.1	39614768	39614768	Hs3st1
ENSMUST00000152057.1	39615073	39615073	Hs3st1
ENSMUST00000159345.7	92258432	92259555	Naaa
ENSMUST00000159732.1	92257663	92257663	Naaa
ENSMUST00000161212.1	92275818	92275818	Naaa
ENSMUST00000167946.8	15934690	15935013	Cacna2d1
ENSMUST00000175656.1	92259555	92259555	Naaa
ENSMUST00000180204.7	15934787	15935013	Cacna2d1
ENSMUST00000185026.2	120419658	120419658	Gm27199
ENSMUST00000196725.1	111581567	111581567	C130026L21Rik
ENSMUST00000196750.1	15934910	15935013	Cacna2d1
ENSMUST00000198356.1	44526726	44526726	Ldb2
ENSMUST00000198458.1	111582430	111582430	C130026L21Rik
ENSMUST00000198894.1	44541618	44541618	Ldb2
ENSMUST00000199236.1	16361394	16361394	Cacna2d1
ENSMUST00000199256.4	44472131	44476530	Ldb2
ENSMUST00000199261.1	44472139	44473281	Ldb2
ENSMUST00000199277.1	21543558	21543558	Lrrc17
ENSMUST00000199471.4	44479170	44479170	Ldb2
ENSMUST00000199534.4	44472131	44476530	Ldb2
ENSMUST00000199587.1	111581560	111581560	C130026L21Rik
ENSMUST00000199704.4	15934787	15935013	Cacna2d1
ENSMUST00000200158.1	16325984	16325984	Cacna2d1
ENSMUST00000200270.1	16025713	16025713	Cacna2d1
ENSMUST00000200294.1	16326150	16326150	Cacna2d1
ENSMUST00000101343.1	66535467	66535526	Mad2l1
ENSMUST00000116605.7	66535389	66535526	Mad2l1
ENSMUST00000125430.1	66535424	66535424	Mad2l1
ENSMUST00000135411.1	66535677	66535677	Mad2l1
ENSMUST00000184986.1	7555095	7555613	Tac1
ENSMUST00000005829.12	110772603	110777803	Ampd3
ENSMUST00000032710.6	51622005	51622634	Slc17a6
ENSMUST00000032840.4	78783118	78783358	Mrps11
ENSMUST00000033142.12	47077797	47078824	Ptpn5
ENSMUST00000079176.13	100643898	100644932	Plekhb1
ENSMUST00000081872.12	49974863	49975388	Nell1
ENSMUST00000102626.9	47077794	47078824	Ptpn5
ENSMUST00000106437.1	123982868	123983180	Hs3st4
ENSMUST00000106686.1	110772787	110772787	Ampd3
ENSMUST00000107043.7	100644642	100645057	Plekhb1
ENSMUST00000107044.9	100643899	100644932	Plekhb1
ENSMUST00000107045.8	100643897	100644932	Plekhb1
ENSMUST00000107046.7	100642891	100644932	Plekhb1
ENSMUST00000107047.9	100643897	100644932	Plekhb1
ENSMUST00000107603.1	49975333	49975388	Nell1
ENSMUST00000116287.8	100643899	100644932	Plekhb1
ENSMUST00000117085.1	84109355	84110581	Abhd17c
ENSMUST00000123706.7	78783312	78783312	Mrps11
ENSMUST00000131505.1	84114250	84114250	Abhd17c
ENSMUST00000132922.1	78783370	78783370	Mrps11
ENSMUST00000133304.6	78783354	78783354	Mrps11
ENSMUST00000133553.7	78783355	78783358	Mrps11
ENSMUST00000135255.1	100644803	100644803	Plekhb1
ENSMUST00000136001.7	78783369	78783369	Mrps11
ENSMUST00000138830.1	100645635	100645635	Plekhb1
ENSMUST00000139708.8	100645055	100645055	Plekhb1
ENSMUST00000143786.1	110773671	110777803	Ampd3
ENSMUST00000145096.7	49975068	49975068	Nell1
ENSMUST00000147587.1	110774243	110777803	Ampd3
ENSMUST00000148292.1	110777689	110777803	Ampd3
ENSMUST00000151123.7	100644945	100644945	Plekhb1
ENSMUST00000151721.7	49974863	49975388	Nell1
ENSMUST00000154410.1	50098309	50098309	Nell1
ENSMUST00000170374.7	110768205	110777803	Ampd3
ENSMUST00000176487.7	110768342	110768342	Ampd3
ENSMUST00000207172.1	47082453	47082453	Ptpn5
ENSMUST00000207344.1	47112746	47112746	Ptpn5
ENSMUST00000207375.1	51625147	51625147	Slc17a6
ENSMUST00000207945.1	51622298	51622634	Slc17a6
ENSMUST00000208271.1	84149090	84149090	Abhd17c
ENSMUST00000208324.1	47081424	47081424	Ptpn5
ENSMUST00000208437.1	47090770	47090770	Ptpn5
ENSMUST00000208531.1	47081661	47081661	Ptpn5
ENSMUST00000208597.1	51629479	51629479	Slc17a6
ENSMUST00000208812.1	100654680	100654680	Plekhb1
ENSMUST00000209057.1	47132707	47132707	Ptpn5
ENSMUST00000209161.1	47077797	47077797	Ptpn5
ENSMUST00000209179.1	47112718	47112718	Ptpn5
ENSMUST00000209184.1	47112736	47112736	Ptpn5
ENSMUST00000213373.1	110768910	110768910	Ampd3
ENSMUST00000014990.12	105467492	105467835	Tppp3
ENSMUST00000039303.6	66697421	66703929	Npy1r
ENSMUST00000062978.6	58911754	58912508	BC030500
ENSMUST00000063788.7	70184339	70186468	Slc25a42
ENSMUST00000093249.10	99028768	99029849	Cdh8
ENSMUST00000095172.5	117349169	117349339	Cmip
ENSMUST00000110127.7	70184339	70186468	Slc25a42
ENSMUST00000126895.1	99170789	99170789	Cdh8
ENSMUST00000128860.7	99028960	99030564	Cdh8
ENSMUST00000134596.1	70192368	70192368	Slc25a42
ENSMUST00000139333.7	70184339	70184339	Slc25a42
ENSMUST00000142129.7	99024881	99024910	Cdh8
ENSMUST00000142475.2	99221958	99223872	Cdh8
ENSMUST00000145601.7	99028960	99098831	Cdh8
ENSMUST00000150706.7	70187715	70187715	Slc25a42
ENSMUST00000155527.7	99024470	99024818	Cdh8
ENSMUST00000160055.1	58912256	58912316	BC030500
ENSMUST00000166750.8	117257063	117257101	Cmip
ENSMUST00000176419.1	105467682	105467835	Tppp3
ENSMUST00000177126.7	105467668	105467835	Tppp3
ENSMUST00000211913.1	117257116	117257116	Cmip
ENSMUST00000212588.1	66697191	66703929	Npy1r
ENSMUST00000212884.1	117423415	117423415	Cmip
ENSMUST00000034692.8	20667689	20668106	Olfm2
ENSMUST00000044901.13	116578514	116578654	Rbms3
ENSMUST00000049457.13	87144305	87169525	Mrap2
ENSMUST00000054819.9	99874105	99874961	Sox14
ENSMUST00000068962.13	116577298	116578695	Rbms3
ENSMUST00000069095.11	116678272	116678272	Rbms3
ENSMUST00000084824.6	116943122	116943122	Rbms3
ENSMUST00000111772.9	116578025	116578695	Rbms3
ENSMUST00000111773.9	116572745	116578695	Rbms3
ENSMUST00000113149.7	87144305	87169525	Mrap2
ENSMUST00000164018.8	116578024	116578695	Rbms3
ENSMUST00000172469.2	116582821	116582821	Rbms3
ENSMUST00000172564.2	116805412	116805412	Rbms3
ENSMUST00000173429.7	116577581	116578654	Rbms3
ENSMUST00000174276.7	116848246	116848246	Rbms3
ENSMUST00000174868.7	116578024	116578654	Rbms3
ENSMUST00000179313.2	87144342	87169525	Mrap2
ENSMUST00000183065.1	99874219	99874961	Sox14
ENSMUST00000210659.1	117708191	117708191	Rbms3
ENSMUST00000215039.1	20672331	20672331	Olfm2
ENSMUST00000215999.1	20667692	20668106	Olfm2
ENSMUST00000217198.1	20667695	20668106	Olfm2
ENSMUST00000026760.2	81070715	81070934	Tmem47
ENSMUST00000033437.14	49010457	49011502	Enox2
ENSMUST00000033444.10	50841046	50841793	Stk26
ENSMUST00000033464.3	57043073	57043244	Brs3
ENSMUST00000033473.11	59062144	59063532	Fgf13
ENSMUST00000033608.14	133936384	133937901	Sytl4
ENSMUST00000033640.13	143518590	143693313	Pak3
ENSMUST00000037687.7	134295224	134295509	Tmem35a
ENSMUST00000040084.9	145290358	145291145	Lhfpl1
ENSMUST00000040184.3	144381670	144382497	Trpc5
ENSMUST00000050239.15	120290258	120364829	Pcdh11x
ENSMUST00000052837.8	98148768	98149781	Ar
ENSMUST00000053593.7	51003911	51015004	Rap2c
ENSMUST00000060309.9	133582878	133587987	Pcdh19
ENSMUST00000073339.6	36598205	36598286	Pgrmc1
ENSMUST00000088652.5	57053614	57054009	Htatsf1
ENSMUST00000112863.7	143665744	143693313	Pak3
ENSMUST00000112864.7	143665744	143693313	Pak3
ENSMUST00000112865.7	143664578	143693313	Pak3
ENSMUST00000112868.7	143664289	143693313	Pak3
ENSMUST00000113026.1	139610619	139610805	Rnf128
ENSMUST00000113027.7	139563315	139563477	Rnf128
ENSMUST00000113029.3	139611366	139611366	Rnf128
ENSMUST00000113294.7	133946447	133947682	Sytl4
ENSMUST00000113297.8	133936384	133937996	Sytl4
ENSMUST00000113358.9	120290326	120364829	Pcdh11x
ENSMUST00000113364.9	120290258	120364829	Pcdh11x
ENSMUST00000114751.8	57053582	57054009	Htatsf1
ENSMUST00000114887.8	50841440	50841793	Stk26
ENSMUST00000114911.7	49011016	49011502	Enox2
ENSMUST00000114912.7	49010457	49011502	Enox2
ENSMUST00000114914.7	49009706	49011502	Enox2
ENSMUST00000114918.8	49010457	49011502	Enox2
ENSMUST00000119306.1	59062144	59063532	Fgf13
ENSMUST00000119833.7	59062144	59063532	Fgf13
ENSMUST00000123443.1	145341008	145341008	Lhfpl1
ENSMUST00000123660.1	59131873	59131873	Fgf13
ENSMUST00000124402.1	59131876	59131876	Fgf13
ENSMUST00000126592.7	143664372	143693313	Pak3
ENSMUST00000131319.7	59250807	59250807	Fgf13
ENSMUST00000134402.7	143518697	143693313	Pak3
ENSMUST00000134785.1	57053897	57053897	Htatsf1
ENSMUST00000136741.1	50841440	50841440	Stk26
ENSMUST00000137518.7	49065439	49065439	Enox2
ENSMUST00000138503.1	59063489	59063489	Fgf13
ENSMUST00000141393.1	49069754	49069754	Enox2
ENSMUST00000145767.1	59250884	59250884	Fgf13
ENSMUST00000146956.1	50878387	50878387	Stk26
ENSMUST00000148240.1	144418674	144418674	Trpc5
ENSMUST00000149154.7	133582859	133587987	Pcdh19
ENSMUST00000150052.1	81070697	81070697	Tmem47
ENSMUST00000150413.1	59566813	59566813	Fgf13
ENSMUST00000155215.7	143664525	143693313	Pak3
ENSMUST00000155223.6	120401363	120401363	Pcdh11x
ENSMUST00000155770.7	49062223	49062223	Enox2
ENSMUST00000156449.7	143664390	143693313	Pak3
ENSMUST00000167659.7	49009706	49011502	Enox2
ENSMUST00000167944.7	133582874	133587987	Pcdh19
ENSMUST00000171953.7	81070704	81070934	Tmem47
ENSMUST00000172330.2	143693285	143693313	Pak3
ENSMUST00000174091.1	133950305	133950305	Sytl4
ENSMUST00000174542.1	133952353	133952353	Sytl4
ENSMUST00000191653.1	120401363	120401363	Pcdh11x
ENSMUST00000192677.5	120364012	120364829	Pcdh11x
ENSMUST00000192977.1	120290326	120290326	Pcdh11x
ENSMUST00000193376.1	133582879	133587987	Pcdh19
ENSMUST00000193485.1	133681319	133681319	Pcdh19
ENSMUST00000193899.1	120364785	120364829	Pcdh11x
ENSMUST00000195088.5	120290402	120364829	Pcdh11x
ENSMUST00000026466.4	127725394	127726028	Tac2
ENSMUST00000058738.10	36506818	36828702	Hs3st5
ENSMUST00000066049.6	25991185	25992893	Tmem200a
ENSMUST00000067086.13	4612020	4712383	Esr1
ENSMUST00000105588.7	4710154	4712383	Esr1
ENSMUST00000105589.1	4710154	4712383	Esr1
ENSMUST00000105590.7	4611988	4712383	Esr1
ENSMUST00000127145.1	4712650	4712650	Esr1
ENSMUST00000127934.7	4922969	4922969	Esr1
ENSMUST00000133985.1	4611995	4611995	Esr1
ENSMUST00000137012.1	4936525	4936525	Esr1
ENSMUST00000138828.7	4612012	4612012	Esr1
ENSMUST00000149195.7	4611592	4611592	Esr1
ENSMUST00000167191.7	36506813	36828702	Hs3st5
ENSMUST00000168572.7	36507025	36828702	Hs3st5
ENSMUST00000171521.1	36507406	36507406	Hs3st5
ENSMUST00000172357.7	36506888	36506888	Hs3st5
ENSMUST00000179960.7	127724477	127726028	Tac2
ENSMUST00000217729.1	127725403	127725403	Tac2
ENSMUST00000217910.1	25912330	25912330	Tmem200a
ENSMUST00000218048.1	127727846	127727846	Tac2
ENSMUST00000218232.1	25991185	25992893	Tmem200a
ENSMUST00000219338.1	25993828	25993828	Tmem200a
ENSMUST00000219651.1	25993657	25993657	Tmem200a
ENSMUST00000219872.1	25994292	25994292	Tmem200a
ENSMUST00000062405.7	59963180	59963809	Rasd1
ENSMUST00000068133.9	98937717	98950617	Rara
ENSMUST00000093290.11	21091290	21136114	Peli1
ENSMUST00000101477.1	21135468	21136114	Peli1
ENSMUST00000107473.2	98960411	98960964	Rara
ENSMUST00000107474.7	98927817	98950617	Rara
ENSMUST00000107475.8	98937697	98950617	Rara
ENSMUST00000139399.1	98938327	98938327	Rara
ENSMUST00000147985.1	98939711	98939711	Rara
ENSMUST00000149675.1	21092117	21092117	Peli1
ENSMUST00000156122.7	21091290	21091290	Peli1
ENSMUST00000164748.7	98939710	98950617	Rara
ENSMUST00000020896.16	36014556	36015697	Tspan13
ENSMUST00000020990.6	3954950	3958128	Pomc
ENSMUST00000021564.10	81026827	81027062	Smoc1
ENSMUST00000048064.15	16670614	16672379	Greb1
ENSMUST00000049788.8	99964524	99965946	Kcnk13
ENSMUST00000110347.8	81026807	81027062	Smoc1
ENSMUST00000129362.1	81026827	81027062	Smoc1
ENSMUST00000140105.7	33111710	33111710	F730043M19Rik
ENSMUST00000144109.1	33135376	33135376	F730043M19Rik
ENSMUST00000145769.7	33134642	33134642	F730043M19Rik
ENSMUST00000148740.7	33133053	33133053	F730043M19Rik
ENSMUST00000151637.7	33125879	33125879	F730043M19Rik
ENSMUST00000159044.1	16706138	16706138	Greb1
ENSMUST00000159120.7	16672078	16672379	Greb1
ENSMUST00000159573.1	16723176	16723176	Greb1
ENSMUST00000160347.1	16706149	16706149	Greb1
ENSMUST00000160413.7	99964498	99965946	Kcnk13
ENSMUST00000160575.1	16702365	16702365	Greb1
ENSMUST00000160627.1	16707885	16709420	Greb1
ENSMUST00000160755.1	16681943	16681943	Greb1
ENSMUST00000160851.1	16673808	16673808	Greb1
ENSMUST00000161036.7	16690530	16690530	Greb1
ENSMUST00000161998.2	16733277	16733277	Greb1
ENSMUST00000162112.7	16670614	16672379	Greb1
ENSMUST00000162221.2	99964504	99964504	Kcnk13
ENSMUST00000172344.1	33147144	33147144	F730043M19Rik
ENSMUST00000177549.7	99964498	99965946	Kcnk13
ENSMUST00000218089.1	3954950	3958128	Pomc
ENSMUST00000218169.1	3954968	3958128	Pomc
ENSMUST00000219543.1	3954950	3958128	Pomc
ENSMUST00000220006.1	3954969	3958128	Pomc
ENSMUST00000220641.1	36021800	36024017	Tspan13
ENSMUST00000222584.1	36021811	36021811	Tspan13
ENSMUST00000022075.5	75089825	75090061	Pcsk1
ENSMUST00000022195.11	94875601	94875769	Otp
ENSMUST00000109543.8	89657055	89657230	Vcan
ENSMUST00000109544.8	89656644	89657230	Vcan
ENSMUST00000109546.8	89655311	89657230	Vcan
ENSMUST00000135349.1	75089915	75089915	Pcsk1
ENSMUST00000159285.1	89657654	89657654	Vcan
ENSMUST00000159337.7	89711225	89712139	Vcan
ENSMUST00000159910.7	89656339	89657230	Vcan
ENSMUST00000160029.1	89710682	89710682	Vcan
ENSMUST00000160740.7	89657016	89657452	Vcan
ENSMUST00000162715.1	89725433	89725433	Vcan
ENSMUST00000184985.1	94882599	94882599	Otp
ENSMUST00000222727.1	75110817	75110817	Pcsk1
ENSMUST00000002395.7	55618036	55618602	Rec8
ENSMUST00000022264.12	11553531	11554247	Ptprg
ENSMUST00000039568.10	79766774	79767370	Pcdh8
ENSMUST00000050120.3	75955008	75962590	Kctd4
ENSMUST00000119888.1	12189942	12190035	Ptprg
ENSMUST00000134290.1	12218945	12218945	Ptprg
ENSMUST00000141425.1	55623568	55623568	Rec8
ENSMUST00000142917.7	11553552	11554247	Ptprg
ENSMUST00000148113.1	11553580	11553580	Ptprg
ENSMUST00000155193.1	55624918	55624918	Rec8
ENSMUST00000155727.2	12091159	12091159	Ptprg
ENSMUST00000194214.1	79769031	79769031	Pcdh8
ENSMUST00000195034.1	79766783	79766783	Pcdh8
ENSMUST00000195355.1	79766779	79767370	Pcdh8
ENSMUST00000223890.1	12164889	12164889	Ptprg
ENSMUST00000226099.1	12153982	12153982	Ptprg
ENSMUST00000227922.1	55623497	55623497	Rec8
ENSMUST00000005400.12	10177237	10177237	Prlr
ENSMUST00000022867.4	34238027	34238323	Laptm4b
ENSMUST00000022871.6	32920722	32921245	Sdc2
ENSMUST00000023057.9	79786350	79789691	Nptxr
ENSMUST00000023123.14	97975601	97976039	Col2a1
ENSMUST00000066529.4	11839895	11845176	Npr3
ENSMUST00000067458.6	32244812	32417385	Sema5a
ENSMUST00000088355.11	97975601	97976039	Col2a1
ENSMUST00000089299.5	79789674	79789691	Npcd
ENSMUST00000124470.7	10177654	10314218	Prlr
ENSMUST00000125283.1	79789261	79789261	Nptxr
ENSMUST00000127467.2	10314101	10314110	Prlr
ENSMUST00000127879.1	97998370	97998370	Col2a1
ENSMUST00000128450.7	10223985	10314218	Prlr
ENSMUST00000128547.1	97988110	97988110	Col2a1
ENSMUST00000128921.7	10223985	10314218	Prlr
ENSMUST00000130720.7	10215954	10314218	Prlr
ENSMUST00000131560.2	97976718	97976718	Col2a1
ENSMUST00000131910.7	97986308	97986308	Col2a1
ENSMUST00000132361.7	10177780	10177780	Prlr
ENSMUST00000133488.7	97995018	97995018	Col2a1
ENSMUST00000134410.7	10249559	10314218	Prlr
ENSMUST00000136591.7	10446755	10447064	Dnajc21
ENSMUST00000137867.7	10177645	10314218	Prlr
ENSMUST00000138135.7	10213464	10213464	Prlr
ENSMUST00000139246.7	97994867	97994867	Col2a1
ENSMUST00000140064.1	98000242	98000242	Col2a1
ENSMUST00000145428.7	10177413	10177413	Prlr
ENSMUST00000145719.1	10446764	10446764	Dnajc21
ENSMUST00000146323.7	10446765	10446765	Dnajc21
ENSMUST00000147224.1	10452614	10452614	Dnajc21
ENSMUST00000148257.7	10223985	10314218	Prlr
ENSMUST00000150878.1	10447695	10447695	Dnajc21
ENSMUST00000157020.1	10325379	10325379	Gm21973
ENSMUST00000175858.8	79786351	79789691	Nptxr
ENSMUST00000226139.1	11842259	11842259	Npr3
ENSMUST00000226437.1	34238148	34238323	Laptm4b
ENSMUST00000226627.1	34238166	34238323	Laptm4b
ENSMUST00000226876.1	32244809	32244809	Sema5a
ENSMUST00000226878.1	11902884	11902884	Npr3
ENSMUST00000227429.1	32601674	32601674	Sema5a
ENSMUST00000227802.1	32245037	32245037	Sema5a
ENSMUST00000227976.1	32245102	32245102	Sema5a
ENSMUST00000228015.1	32244830	32244830	Sema5a
ENSMUST00000228103.1	32244823	32244823	Sema5a
ENSMUST00000228442.1	32244821	32244821	Sema5a
ENSMUST00000228489.1	11844382	11845176	Npr3
ENSMUST00000228547.1	34273259	34273259	Laptm4b
ENSMUST00000228555.1	32244824	32244824	Sema5a
ENSMUST00000228603.1	11844382	11845176	Npr3
ENSMUST00000230148.1	98000825	98000825	Col2a1
ENSMUST00000005406.11	84954442	84955330	App
ENSMUST00000023612.16	95702074	95706420	Ets2
ENSMUST00000168064.2	65815256	65815632	Vgll3
ENSMUST00000226232.1	84954643	84955330	App
ENSMUST00000226801.1	84954439	84955330	App
ENSMUST00000227021.1	84954449	84955330	App
ENSMUST00000227654.1	84954437	84954437	App
ENSMUST00000227723.1	84949684	84955330	App
ENSMUST00000227737.1	84954439	84955370	App
ENSMUST00000227753.1	84992960	84992960	App
ENSMUST00000227990.1	84994703	84994703	App
ENSMUST00000227997.1	65815628	65815632	Vgll3
